scale,name,area_sq_km,perimeter_km,polsby_popper,convex_hull_ratio,min_rect_ratio,polsby_popper_percentile,convex_hull_percentile,min_rect_percentile
Washington legislative districts,14,10204.443815616956,943.8979695345329,0.14392926220279523,0.6559316855231708,0.5096606687826386,0.04081632653061224,0.04081632653061224,0.12244897959183673
Washington legislative districts,15,5932.714724895163,606.6940299531094,0.20254610079254495,0.6889635306405185,0.5479740582463795,0.061224489795918366,0.20408163265306123,0.30612244897959184
Washington legislative districts,16,8765.997479772588,532.7613847817507,0.3881018628363958,0.8220988938733619,0.662364312429629,0.7551020408163265,0.7755102040816326,0.7959183673469388
Washington legislative districts,17,6357.072504145801,559.4693748027023,0.2552198164613697,0.68161250903693,0.45759561820447703,0.32653061224489793,0.16326530612244897,0.02040816326530612
Washington legislative districts,18,212.36798776709554,89.7171888855159,0.3315489076313,0.779604578629943,0.6293253303505167,0.6326530612244898,0.6122448979591837,0.6530612244897959
Washington legislative districts,19,7765.257141674827,492.6969066511038,0.40198147044075133,0.8532339927257319,0.6764367758815717,0.8163265306122449,0.8979591836734694,0.8775510204081632
Washington legislative districts,20,8275.502708573451,620.9384853029296,0.2697162378849227,0.688126863524857,0.5046360042540066,0.3673469387755102,0.1836734693877551,0.10204081632653061
Washington legislative districts,21,148.456398352978,79.42709500413281,0.29571368724901964,0.7401032561354153,0.531950636992448,0.4897959183673469,0.3673469387755102,0.22448979591836735
Washington legislative districts,22,346.9955840806761,121.55226017597174,0.2951261787322844,0.8065730623582839,0.6389237415920332,0.46938775510204084,0.673469387755102,0.6938775510204082
Washington legislative districts,23,750.8784176275749,136.15218658027064,0.5090146064432093,0.8626441608361549,0.6621318436078333,0.9591836734693877,0.9183673469387755,0.7755102040816326
Washington legislative districts,24,16690.089672040896,682.115414566962,0.45076771803157883,0.76900904162519,0.564556599942851,0.9387755102040817,0.5510204081632653,0.32653061224489793
Washington legislative districts,25,171.4740858922998,70.03735146848449,0.43928758696172177,0.8477041019195032,0.6681995246467682,0.9183673469387755,0.8775510204081632,0.8163265306122449
Washington legislative districts,26,789.436048657714,201.0948360804094,0.24531549525743993,0.7242962751466318,0.5672419051315399,0.2653061224489796,0.30612244897959184,0.3673469387755102
Washington legislative districts,27,158.2196611945241,70.52316617353806,0.39976678760420103,0.7620982261363174,0.6033253353959348,0.7959183673469388,0.4897959183673469,0.5714285714285714
Washington legislative districts,28,501.22097711328803,141.58169998544443,0.31421351246778595,0.7767683818393557,0.6799278290686979,0.5918367346938775,0.5918367346938775,0.9183673469387755
Washington legislative districts,29,89.87394035337527,62.46515238056833,0.2894463247317872,0.7369093704527071,0.5311849552327373,0.42857142857142855,0.3469387755102041,0.20408163265306123
Washington legislative districts,30,122.59671366169414,60.93616782085895,0.4148952046758623,0.8158734261912515,0.588510388610129,0.8775510204081632,0.7551020408163265,0.46938775510204084
Washington legislative districts,31,1461.7546594616417,274.8965025361267,0.24307814980350806,0.7073822395554896,0.595229517221582,0.24489795918367346,0.2653061224489796,0.5306122448979592
Washington legislative districts,32,112.57679207883498,68.87072607165193,0.29825615168688824,0.7285603580274503,0.5342931901294103,0.5102040816326531,0.32653061224489793,0.24489795918367346
Washington legislative districts,33,157.2259566497598,77.50963335037682,0.32886885395368715,0.7681361926850835,0.6067435457316398,0.6122448979591837,0.5306122448979592,0.5918367346938775
Washington legislative districts,34,339.42415489359865,102.31483464850169,0.40745100742467943,0.8087442260228068,0.6555442572302027,0.8367346938775511,0.6938775510204082,0.7551020408163265
Washington legislative districts,35,3902.4894232127504,447.04541351897103,0.2453851695559539,0.7237927947326491,0.606887541226589,0.2857142857142857,0.2857142857142857,0.6122448979591837
Washington legislative districts,36,93.90152931689181,44.125329154629945,0.6060474292201756,0.913854533858487,0.7370586690689771,1.0,0.9795918367346939,0.9387755102040817
Washington legislative districts,37,63.02578918154602,46.987555505566654,0.35872566797823585,0.7983217374359708,0.6498560553107686,0.6938775510204082,0.6530612244897959,0.7346938775510204
Washington legislative districts,38,311.86148688050685,97.84396993614533,0.40935818476796937,0.8312475283917191,0.5990901441969562,0.8571428571428571,0.8163265306122449,0.5510204081632653
Washington legislative districts,39,7277.7593743682055,553.3842075972734,0.29864416519765025,0.8397818629192434,0.6790056089954853,0.5306122448979592,0.8367346938775511,0.8979591836734694
Washington legislative districts,40,2604.1769644331516,360.7596315625507,0.25144585890736476,0.6619532850957618,0.5365738633756326,0.30612244897959184,0.061224489795918366,0.2653061224489796
Washington legislative districts,41,154.85377168097298,93.53822572626143,0.2224095319588773,0.7590806899493544,0.5655893120283643,0.14285714285714285,0.46938775510204084,0.3469387755102041
Washington legislative districts,42,6143.025403803184,503.1569591312988,0.3049195062047238,0.8909027591881866,0.7419784529666252,0.5510204081632653,0.9591836734693877,0.9795918367346939
Washington legislative districts,43,41.745161865887916,42.646626505111996,0.2884341296659224,0.6641857905534541,0.4782112725842889,0.40816326530612246,0.08163265306122448,0.04081632653061224
Washington legislative districts,44,278.0870438034329,114.13182733085293,0.2682730692943271,0.7510498299244236,0.5904721223565736,0.3469387755102041,0.42857142857142855,0.4897959183673469
Washington legislative districts,45,268.43908964220236,124.84369303847535,0.21643246561567825,0.741061561342563,0.5153742028789237,0.10204081632653061,0.3877551020408163,0.1836734693877551
Washington legislative districts,46,56.001578711469456,35.57760207369847,0.5559769509793988,0.8828998778515429,0.7409485883425435,0.9795918367346939,0.9387755102040817,0.9591836734693877
Washington legislative districts,47,167.28222572000695,78.12790253677073,0.34438746204035203,0.8142263242382876,0.6367503892038643,0.673469387755102,0.7346938775510204,0.673469387755102
Washington legislative districts,48,104.1143856389243,55.37977247842014,0.42659746508051005,0.842392943820388,0.6742014729176178,0.8979591836734694,0.8571428571428571,0.8571428571428571
Washington legislative districts,49,146.77797373013973,79.5480328824281,0.2914820819138087,0.6712266657355037,0.5749220978740323,0.4489795918367347,0.12244897959183673,0.40816326530612246
Seattle city council districts,CD - 1,55.532295593191904,75.1324716904696,0.12362324462708772,0.7111401511626939,0.6358353248442064,0.14285714285714285,0.42857142857142855,0.7142857142857143
Seattle city council districts,CD - 2,32.99986548335617,45.32219054781479,0.20188323201251038,0.6536694266590245,0.48084811792896565,0.2857142857142857,0.14285714285714285,0.14285714285714285
Seattle city council districts,CD - 3,20.099343003770645,30.191914042210126,0.2770833520734967,0.856468162938345,0.6689100441381062,0.7142857142857143,0.8571428571428571,0.8571428571428571
Seattle city council districts,CD - 6,30.589096654014643,42.526519424621384,0.21254790905503726,0.6925587917224445,0.5262459646656351,0.42857142857142855,0.2857142857142857,0.2857142857142857
Seattle city council districts,CD - 4,25.653902075599532,32.6455829312767,0.3024923813052246,0.7661155743950708,0.5854694350917297,0.8571428571428571,0.5714285714285714,0.42857142857142855
Seattle city council districts,CD - 5,35.41225993873392,29.866296035738163,0.498885379343051,0.8704204670237644,0.7433779220325807,1.0,1.0,1.0
Seattle city council districts,CD - 7,16.249986719809154,30.341757768860617,0.2218101424143886,0.7661706548070892,0.634968899712464,0.5714285714285714,0.7142857142857143,0.5714285714285714
Bellevue elementary attendance areas,SOMERSET,4.93463794132908,13.240906493330764,0.35369565149424975,0.7920957618747111,0.562127266412056,0.5,0.7857142857142857,0.42857142857142855
Bellevue elementary attendance areas,CLYDE HILL,11.357676969738565,21.8538586124837,0.29884302133252444,0.7680414501066323,0.5647059145299921,0.21428571428571427,0.6428571428571429,0.5
Bellevue elementary attendance areas,CHERRY CREST,6.031506609822435,10.797439486059634,0.6501208801517162,0.8795039250760951,0.7659252226728526,1.0,1.0,1.0
Bellevue elementary attendance areas,ARDMORE,4.869133306250023,10.551639458131481,0.5495682598620808,0.8200085017455058,0.7004914372333145,0.9285714285714286,0.8571428571428571,0.9285714285714286
Bellevue elementary attendance areas,MEDINA,5.544430133735789,13.857420055815085,0.3628290198952035,0.7539101112043675,0.5077883508576333,0.5714285714285714,0.35714285714285715,0.21428571428571427
Bellevue elementary attendance areas,STEVENSON,3.9667631534894046,11.120640563263441,0.4030756163495099,0.7643007864620833,0.5772358473536271,0.7857142857142857,0.5714285714285714,0.5714285714285714
Bellevue elementary attendance areas,SHERWOOD FOREST,2.684877129818211,9.412906547114634,0.3807910967494898,0.780964972273521,0.5867915860185828,0.6428571428571429,0.7142857142857143,0.7142857142857143
Bellevue elementary attendance areas,BENNETT,4.005605049871153,14.091189723339708,0.2535027444339566,0.5709946930122108,0.3897263396213106,0.07142857142857142,0.07142857142857142,0.07142857142857142
Bellevue elementary attendance areas,ENATAI,10.940447915439277,18.678375009373898,0.3940640221443987,0.7404048775207428,0.5573098385365174,0.7142857142857143,0.2857142857142857,0.35714285714285715
Bellevue elementary attendance areas,LAKE HILLS,5.307745010479207,14.207836782998847,0.3304182266553145,0.7640579304306193,0.625334610067109,0.35714285714285715,0.5,0.7857142857142857
Bellevue elementary attendance areas,PHANTOM LAKE,3.3364957169896376,9.507722163959132,0.46381786371620154,0.8321415841071388,0.687513741187621,0.8571428571428571,0.9285714285714286,0.8571428571428571
Bellevue elementary attendance areas,SPIRITRIDGE,10.378254585711717,20.367859575535135,0.3143716683285478,0.7179127291033973,0.5293052387924538,0.2857142857142857,0.21428571428571427,0.2857142857142857
Bellevue elementary attendance areas,NEWPORT HEIGHTS,6.96962467186353,17.791595255812457,0.27668745888395857,0.6274136505304028,0.465336586701106,0.14285714285714285,0.14285714285714285,0.14285714285714285
Bellevue elementary attendance areas,WOODRIDGE,5.909046005742877,14.746310403278576,0.34147624140519145,0.762052228572104,0.5826811130448007,0.42857142857142855,0.42857142857142855,0.6428571428571429
Bellevue middle school attendance areas,ODLE,14.33488229516756,30.057307827492366,0.19939021289342004,0.5059356132360342,0.41166335309417795,0.2,0.2,0.2
Bellevue middle school attendance areas,CHINOOK,32.787440245902125,36.196754675058386,0.31446919391634964,0.8211564839683316,0.608719164616482,0.6,1.0,0.8
Bellevue middle school attendance areas,TILLICUM,10.83493128070551,22.765507265149825,0.26271287772585666,0.7084638437309604,0.5544738074684149,0.4,0.6,0.6
Bellevue middle school attendance areas,TYEE,13.851715094087021,21.17997862059676,0.3880273872817867,0.7903684158239379,0.6530671141293146,1.0,0.8,1.0
Bellevue middle school attendance areas,HIGHLAND,14.376998443831608,23.438893248453937,0.3288545746450919,0.6164171723544902,0.4450456338385075,0.8,0.4,0.4
Bellevue high school attendance areas,NEWPORT,17.99592276959758,21.289336383480546,0.4989531129080038,0.8446274657700912,0.6942501528840456,1.0,1.0,1.0
Bellevue high school attendance areas,INTERLAKE,14.379339873815773,23.45792589195938,0.3283746274593284,0.6159311492247731,0.4444509216471349,0.75,0.25,0.25
Bellevue high school attendance areas,SAMMAMISH,21.03493554503266,31.104641137962258,0.273212559169561,0.6174473826533966,0.49881820084845774,0.25,0.5,0.5
Bellevue high school attendance areas,BELLEVUE,32.78711748526653,36.152658435191434,0.3152336893648916,0.8206142615753161,0.6085879765319343,0.5,0.75,0.75
